index,title
0,Clarification sought from Tata Steel Ltd
1,Update - Effective Date Of Appointment Of Mr. Rolf Hoffmann As An Independent Director
2,Clarification Sought From The Company
3,Submission Of Disclosure Pursuant To Chapter XIV - Centralized Database For Corporate Bonds/ Debentures
4,Updated Independent Auditor'S Report On The Consolidated Financial Statements As At And For The Year Ended March 31
5,Announcement under Regulation 30 (LODR)-Updates on Acquisition
6,Update - Additional Information On Financial Results
7,General Updates
8,Intimation For Incorporation Of A Wholly Owned
9,Company Update: Commissioning Of Cement Capacity
10,Update On Press Release Dated February 27
11,Clarification sought from Adani Ports and Special Economic Zone Ltd
12,Disclosure Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations
13,Update on board meeting
14,Quarterly Update - Q4 FY 2022-23
15,Clarification sought from JSW Steel Ltd
16,Update To The Disclosure Dated August 23
17,Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations
18,Update On Appointment Of MD & CEO
19,Corporate Insolvency Resolution Process (CIRP)-Updates - Corporate Insolvency Resolution Process (CIRP)
20,General-Updates
21,Updates on Notice of Offer for Sale of Shares by Promoter
22,Disclosure Under Clause 2.2(B) Of Chapter-XIV Of The Operational Circular No. SEBI/HO/DDHS/P/CIR/2021/613 Dated August 10
23,Updates And Disclosures In Connection With The Scheme Of Arrangement Between Reliance Industries Limited And Its Shareholders And Creditors & Reliance Strategic Investments Limited And Its Shareholders And Creditors ('Scheme')
24,Announcement Of Joint Venture Agreement With ABC Corporation
25,Clarification On Media Reports Regarding Leadership Changes
26,Update On Regulatory Approval For Merger With XYZ Ltd
27,Notice Of Extraordinary General Meeting (EGM) - Amendments To Articles Of Association
28,Disclosure Of Material Event - Strategic Partnership with Global Tech Inc.
29,Update On Share Buyback Program
30,Clarification Sought On Market Speculations
31,Announcement Of Acquisition Of Controlling Stake In XYZ Ltd
32,Update On Key Management Personnel
33,Notice Of Annual General Meeting (AGM) - Agenda And Resolutions
34,Update On Legal Proceedings - Settlement Reached
35,Disclosure Of Related Party Transactions
36,Announcement Of Dividend Declaration
37,Update On Ratings Assigned By Credit Rating Agencies
38,Notice Of Record Date For Bonus Issue
39,Announcement Of Strategic Collaboration With Industry Leader
40,Clarification On Auditor's Resignation
41,Update On Technology Partnership Agreement
42,Disclosure Under Regulation 31A - Shareholding Pattern
43,Notice Of Scheme Of Arrangement For Demerger
44,Update On Corporate Social Responsibility (CSR) Activities
45,Announcement Of Joint Venture With Global Innovations Ltd
46,Notice Of Postal Ballot - Amendment To Company Policy
47,Update On Memorandum Of Understanding (MOU) With Government Authority
48,Clarification On Insider Trading Allegations
49,Announcement Of New Manufacturing Facility
50,Update On Disinvestment Of Non-core Assets
51,Disclosure Of Information Pursuant To SEBI Circular On Cyber Security
52,Notice Of Change In Registered Office Address
53,Update On Appointment Of Chief Financial Officer (CFO)
54,Announcement Of Strategic Investment By International Fund
55,Clarification On Impact Of Regulatory Changes On Business Operations
56,Update On Resolution Plan Approval Under Insolvency And Bankruptcy Code
57,Disclosure Of Order From Regulatory Authority
58,Announcement Of Collaboration With Research Institution For R&D
59,Notice Of Rights Issue Of Equity Shares
60,"Update To Disclosure Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Resolution Plan Jointly Submitted By Reliance Industries Limited And Assets Care & Reconstruction Enterprise Limited For The Resolution Of Sintex Industries Limited, Approved By Hon'Ble National Company Law Tribunal, Ahmedabad Bench"
61,Update - Incorporation Of Kotak Karma Foundation
62,Quarterly Update - Q1 FY 2023-24.
63,"Intimation Under Regulations 60(2) Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 (Listing Regulations)-Record Date Update."
64,"Compliance With SEBI Circular No. SEBI/HO/DDHS/P/CIR/2021/613 Dated August 10, 2021 (Updated As On April 13, 2022) - Statement Containing Details Of Debt Securities As On March 31, 2023"
65,Quarterly Update - Q3 FY 2022-23
