index,title
0,Board Meeting Outcome for Un-Audited Financial Results Of Coal India Limited (Standalone & Consolidated) For The 1St Quarter Ended 30Th June' 2023
1,"Board Meeting Intimation for Audited Standalone And Consolidated Financial Results For The Quarter And Year Ended 31St March, 2023 And Recommendation Of Final Dividend, If Any."
2,"Board Meeting Intimation for Approval Of The Unaudited Standalone And Consolidated Financial Results Of The Company For The Quarter Ended 30Th June, 2023 And The Scheme Of Arrangement For The Demerger Of Hotels Business."
3,"Board Meeting Intimation for Approval Of Financial Results And Recommendation Of Dividend, If Any"
4,"Board Meeting Intimation for Consideration Of Unaudited Standalone And Consolidated Financial Results For The Quarter Ended 31St December, 2022."
5,"Board Meeting Intimation for Standalone And Consolidated Audited Financial Results Of The Company For The Fourth Quarter And Financial Year Ended March 31, 2023 And Recommendation Of Dividend"
6,Board Meeting Intimation for Quarterly Results
7,"Board Meeting Outcome for Outcome Of Board Meeting Held On March 08, 2023"
8,Board Meeting Outcome for Raising Of Capital By Way Of Issue Of Equity Shares On Right Basis.
9,"Board Meeting Intimation for Regulation 29 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Consideration Of Un-Audited Financial Results For The Second Quarter And Half Year Ending 30Th June 2023 And Closure Of Trading Window"
10,"Board Meeting Intimation for Considering And Approving The Audited Financial Results For The Quarter And Year Ended March 31, 2023 And To Consider And Recommend Dividend, If Any, On The Equity Shares Of The Company For The Financial Year 2022-23."
11,"Board Meeting Intimation for Intimation Regarding Meeting Of ""Committee Of Directors For Bonds"" Of POWERGRID For Issue Of POWERGRID Bond LXXIII (73Rd) Issue 2023-24 The Debt Instrument"
12,Board Meeting Intimation for Consideration Of Fund Raising
13,"Outcome Of Board Meeting Held On April 27, 2023"
14,"Board Meeting Intimation for Intimation Under Regulation 29 And 50 Of The SEBI (Listings Obligations And Disclosure Requirements) Regulations, 2015 ('SEBI Listing Regulations')."
15,Board Meeting Intimation for Approval Of Financial Results And Consideration Of Declaration Of An Interim Dividend
16,"Board Meeting Intimation for To Consider And Approve The Standalone And Consolidated Un-Audited Financial Results Of The Company For The Quarter And Half Year Ending 30Th September, 2023"
17,"Board Meeting Intimation for Considering And Taking On Record The Audited Standalone And Unaudited Consolidated Financial Results Of The Company For The Quarter And Nine Months Ended December 31, 2022."
18,"Conclusion Of Board Meeting For The Quarter And Nine Month Ended 31St December, 2022"
19,Board Meeting Intimation for Financial Results
20,"Board Meeting Intimation for Approving The Standalone And Consolidated Audited Financial Results For The Quarter/Financial Year Ended 31St March 2023 And Recommending Dividend, If Any, On The Equity Shares Of The Company For The Year Ended 31St March 2023."
21,"Board Meeting Intimation for Audited Financial Results For Quarter And Financial Year Ended March 31, 2023"
22,"Board Meeting Intimation for Board Meeting To Consider And Approve Unaudited Standalone And Consolidated Financial Results Of The Company For The Third Quarter And Period Ended December 31, 2022"
23,"Board Meeting Outcome for Outcome Of Board Meeting Held On 30Th January, 2023"
24,"Outcome Of The Meeting Of The Board Of Directors Of Indusind Bank Limited For Approval Of Unaudited Standalone And Consolidated Financial Results For The First Quarter Ended June 30, 2023"
25,"Board Meeting Intimation for Prior Intimation Of Board Meeting Pursuant To Regulation 29(1) Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015."
26,"Board Meeting Outcome for Outcome Of Board Meeting Held On April 15, 2023"
27,"Board Meeting Intimation for Intimation Under Regulations 29 And 50 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
28,"Board Meeting Intimation for Considering And Approval Of The Audited Standalone And Consolidated Financial Results Of The Company For The Quarter And Financial Year Ended 31St March, 2023."
29,"Board Meeting Outcome for Raising Of Unsecured, Non-Convertible, Non-Cumulative, Redeemable, Taxable POWERGRID Bonds-LXX (70Th) Issue 2022-23 On Private Placement As Approved By Committee Of Directors For Bonds Of POWERGRID."
30,Board Meeting Intimation for NOTICE FOR BOARD MEETING
31,"Outcome Of Board Meeting Held On April 26, 2023"
32,"Board Meeting Outcome for Outcome Of Board Meeting Held On February 7 , 2023 And Submission Of Unaudited Financial Results For The Quarter And Nine Months Ended December 31, 2022."
33,"Board Meeting Intimation for Audited Standalone And Consolidated Financial Results, Dividend And Borrowing/Raising Of Funds"
34,"Board Meeting Outcome for Consolidated And Standalone Audited Financial Results For The Quarter / Year Ended March 31, 2023"
35,Conclusion Of Board Meeting For The Quarter And Financial Year Ended 31St March 2023
36,Board Meeting Outcome for Unaudited Financial Results (Standalone And Consolidated) For The Quarter Ended 30Th June 2023
37,"Board Meeting Intimation for Board Meeting For Approval Of Un-Audited Financial Results For The Quarter Ended On 30Th June, 2023"
38,"Board Meeting Outcome for Intimation Under Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015, As Amended - Outcome Of Board Meeting Held On April 22, 2023"
39,OUTCOME OF BOARD MEETING
40,Board Meeting Intimation for Quarterly Financial Results
41,Board Meeting Outcome for Audited Financial Results
42,"Board Meeting Intimation for Considering The Unaudited Financial Results For The Quarter Ended On 30Th June, 2023"
43,"Board Meeting Outcome for Outcome Of The Board Meeting :
(I) Audited Financial Results (Standalone And Consolidated) For The Quarter And Year Ended 31St March 2023
(Ii) Final Dividend For The Year 2022-23"
44,"Board Meeting Intimation for Board Of Directors Of The Company To Inter-Alia Consider Declaration Of An Interim Dividend For The Year 2023, If Any, On 12Th April 2023"
45,"Board Meeting Outcome for Financial Results For The Quarter And Nine Month Period Ended December 31, 2022 And Declaration Of Third Interim Dividend"
46,"Board Meeting Outcome for Unaudited Standalone & Consolidated Financial Results And Limited Review Reports Of The Statutory Auditors For The First Quarter Ended June 30, 2023"
47,Board Meeting Intimation for Approval Of Financial Results And Dividend
48,"Board Meeting Intimation for Consideration And Approval Of The Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended March 31, 2023 And To Consider And Recommend The Final Dividend, If Any, For The Financial Year 2022-23."
49,"Board Meeting Outcome for Financial Results For The Third Quarter (Q3) Ended December 31, 2022"
50,"Board Meeting Outcome for (I) Un-Audited Financial Results For The Quarter And Nine Months Ended 31St December, 2022 (Ii) Declaration Of Second Interim Dividend For The Financial Year 2022-23"
51,Intimation Of Board Meeting
52,"Outcome Of The Board Meeting Held On 19Th January, 2023"
53,"Board Meeting Outcome for Approval Of Audited Financial Results For Quarter And Year Ended 31St March, 2023"
54,Board Meeting Outcome for Maruti Suzuki Board Approved Issuing MSIL Equity Shares On Preferential Allotment Basis To SMC For Acquiring SMG Subject To Shareholder Approval.
55,"Board Meeting Outcome for Outcome Of The Meeting Of Committee Of Directors - Issue Of Non-Convertible Debentures Aggregating To ?2,150 Crore"
56,Board Meeting Outcome for Capital Infusion Through Rights Issue Of Equity Shares
57,"Board Meeting Intimation for Intimation Of Board Meeting Under Regulation 29 Of SEBI (Listing Obligations And Disclosure Requirements), Regulations, 2015 ('Listing Regulations')."
58,Board Meeting Outcome for Unaudited Financial Results (Standalone And Consolidated) For The Quarter Ended 31St December 2022
59,"Board Meeting Intimation for Unaudited Financial Results For The Quarter Ended On 31St December, 2022"
60,"Outcome Of Board Meeting - Regulation 30 Of The Listing Regulations: Intimation To Change The Financial Year Of The Company To The Fiscal Year I.E., April To March Cycle, Subject To Approvals"
61,"Board Meeting Intimation for Consideration Of The Unaudited Standalone And Consolidated Financial Results For The First Quarter Ending June 30, 2023"
62,"Board Meeting Outcome for Raising Of Unsecured, Non-Convertible, Non-Cumulative, Redeemable, Taxable POWERGRID Bonds On Private Placement As Approved By Committee Of Directors For Bonds Of POWERGRID."
63,"Board Meeting Outcome for Raising Infrastructure Bonds Up To An Amount Of Rs. 10,000 Crores Through A Public Issue Or Private Placement, During FY23"
64,"Board Meeting Outcome for Outcome Of Board Meeting Held On 30Th May, 2023 And Submission Of
Audited Financial Results (Standalone And Consolidated) For The Quarter
And Year Ended 31St March, 2023 As Per SEBI (Listing Obligations And
Disclosure Requirements) Regulations, 2015."
65,Board Meeting Outcome for Unaudited Financial Results For The Quarter And Nine Months Ended 31 December 2022
66,"Board Meeting Intimation for Declaration Of Unaudited Standalone And Consolidated Financial Results To Be Held On Friday, 4Th August 2023"
67,"Outcome Of Board Meeting - Unaudited Financial Results (Standalone And Consolidated) For The Quarter And Nine Months Ended December 31, 2022"
68,Board Meeting Intimation for Board Meeting Intimation For Considering And Approving The Unaudited Financial Results Of The Company For The Quarter Ended 30Th June 2023.
69,"Board Meeting Intimation for Audited Standalone And Consolidated Financial Results Of The Company For The Quarter And Financial Year Ending On March 31, 2023, And To Recommend Dividend, If Any, For The Financial Year 2022-23."
70,"Board Meeting Intimation for Meeting Of The Board Of Directors Of Indusind Bank Limited (The Bank) For Approval Of The Unaudited Standalone And Consolidated Financial Results For The Quarter Ended June 30, 2023."
71,"Board Meeting Outcome for Financial Results For The Fourth Quarter (Q4) And Year Ended March 31, 2023 And Recommendation Of Dividend"
72,"Board Meeting Intimation for Intimation Regarding Meeting Of ""Committee Of Directors For Bonds"" Of POWERGRID For Issue Of POWERGRID Bond LXXI (71St) Issue 2022-23 The Debt Instrument."
73,"Outcome Of Board Meeting Held On January 21, 2023"
74,"Board Meeting Intimation for Meeting Of Board Of Directors Of POWERGRID To Consider And Approve The Unaudited Financial Results Of The Company For The Quarter And Nine Months Ended 31St December, 2022 And Proposal For Payment Of 2Nd Interim Dividend And Fixation Of Record Date."
75,"Board Meeting Intimation for Regulation 29(1)(A) Read With Regulation 50(1)(C) Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
76,"Meeting Of Board Of Directors Of POWERGRID To Consider And Approve The Unaudited Financial Results Of The Company For The Quarter And Nine Months Ended 31St December, 2022 And Proposal For Payment Of 2Nd Interim Dividend And Fixation Of Record Date."
77,Board Meeting Outcome for Board Meeting Outcome For Outcome Of Board Meeting Of Bajaj Auto Limited-25 April 2023
78,Board Meeting Outcome for Outcome Of Board Meeting Held On 26 July 2023
79,"Board Meeting Intimation for Notice Of The Board Meeting Dt. May 16, 2023"
80,"Board Meeting Outcome for Audited Annual Financial Results, Dividend And Related Matters"
81,Board Meeting Outcome for Outcome Of Board Meeting Held On 27 April 2023
82,"Outcome Of Board Meeting Held On June 29, 2023"
83,"Board Meeting Intimation for Intimation Of Board Meeting To Be Held On Wednesday, 1St February 2023"
84,Board Meeting Intimation for Board Meeting Intimation For Consideration Of Un-Audited Financial Results For The First Quarter Ending 31St March 2023
85,"Board Meeting Outcome for Outcome Of Board Meeting - Submission Of Unaudited Financial Results For The Quarter Ended June 30, 2023"
86,"Outcome Of Board Meeting Held On July 25, 2023"
87,"Board Meeting Intimation for Board Meeting Of Mahindra & Mahindra Limited To Be Held On 4Th August, 2023 And Closure Of Trading Window"
88,"Board Meeting Intimation for Considering The Audited Financial Results For The Year Ended March 31, 2023 Along With The Consolidated Accounts For The Year Ended March 31, 2023"
89,Board Meeting Intimation for Consideration Of Unaudited Financial Results For The Quarter Ended 30Th June 2023
90,Correction In The Outcome Of Board Meeting
91,"Conclusion Of Board Meeting Dated May 16, 2023"
92,"Board Meeting Intimation for Intimation Of Board Meeting To Be Held On Saturday, January 21, 2023"
93,Board Meeting Intimation for Disclosure Under Regulation 29 : Executive Committee Of The Board To Consider And Examine On Long Term Fund Raising
94,Outcome Of The Board Meeting
95,"Intimation Regarding The Change In Date Of The 39Th Annual General Meeting (AGM) And Revised Intimation Of Book Closure Date Pursuant To Regulation 42 Of The Securities And Exchange Board Of Lndia (Listing Obligations And Disclosure Requirements) Regulations, 2015."
96,"Board Meeting Outcome for Board Meeting Outcome For Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 (''Listing Regulations'') For Declaration Of Interim Dividend"
97,Board Meeting Intimation for Audited Standalone & Consolidated Financial Results And Dividend
98,"Notice Of The 39Th Annual General Meeting (AGM) Of The Company For The Financial Year 2022-23 As Required Under Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015, As Amended (Listing Regulations)"
99,"Board Meeting Outcome for Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015: Declaration Of An Interim Dividend For The Year 2023"
100,"Board Meeting Intimation for Board Meeting Of Mahindra & Mahindra Limited To Be Held On 26Th May, 2023 And Closure Of Trading Window"
101,"Board Meeting Outcome for Outcome Of Board Meeting - Unaudited Financial Results For The Quarter And Nine Months Ended December 31, 2022"
102,"Board Meeting Intimation for Audited Results For The Quarter Ended June 30, 2023"
103,Board Meeting Intimation for Notice Of Board Meeting
104,Board Meeting Update
105,Board Meeting Intimation for To Consider The Audited Financial Results For The Year Ended 31St March 2023.
106,"Outcome Of Board Meeting Held On April 22, 2023"
107,"Intimation Of Board Meeting For Declaration Of Dividend On 8.10% Non-Convertible Perpetual Non-Cumulative Preference Shares For The Year Ending March 31, 2023 And Record Date For The Same."
108,"Board Meeting Intimation for Consideration Of Financial Results Of The Company For The Quarter And Financial Year Ending 31St March, 2023 And Recommendation Of Final Dividend, If Any, For Financial Year Ending 31St March, 2023"
109,"Board Meeting Intimation for Board Meeting For Approval Of Audited Financial Results For The Quarter And Year Ended On 31St March, 2023 And Consideration Of Declaration Of 2Nd Interim Dividend"
110,Board Meeting Outcome for OUTCOME OF BOARD MEETING FINANCIAL RESULTS FOR THE QUARTER ENDED 30TH JUNE 2023
111,"Board Meeting Outcome for Outcome Of Board Meeting Pursuant To Regulations 30, 52 And Other Applicable Regulations Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
112,"Board Meeting Outcome for Outcome Of Board Meeting Held On May 2, 2023"
113,"Board Meeting Intimation for Unaudited Standalone And Consolidated Financial Results Of The Company For The Quarter Ended June 30, 2023"
114,"Board Meeting Outcome for Board Meeting - Un-Audited Financial Results For The Quarter Ended June 30, 2023"
115,"Board Meeting Intimation for Consideration Of Financial Results Of The Company For The Quarter Ending 30Th June, 2023"
116,Board Meeting Intimation for To Consider Inter Alia The Un-Audited Standalone & Consolidated Financial Results Of Our Company For The Quarter Ended 30Th June 2023.
117,"Board Meeting Intimation for Board Meeting Intimation For Audited Results For The Quarter And Year Ended March 31, 2023"
118,"Board Meeting Intimation for Board Meeting For Approval Of Un-Audited Financial Results For The Quarter And Nine Months Ended On 31St December, 2022 And Consideration Of Declaration Of Interim Dividend"
119,"Board Meeting Outcome for Outcome Of Board Meeting Held On January 17, 2023"
120,"Outcome Of Board Meeting In Accordance With The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Financial Results"
121,"Board Meeting Outcome for Outcome Of Board Meeting Of Mahindra & Mahindra Limited Held On 26Th May, 2023"
122,"Board Meeting Intimation for Considering And Approving The Standalone And Consolidated Unaudited Financial Results For The Quarter And Nine Months Ended December 31, 2022."
123,Board Fixes Book Closure For The Purpose Of Payment Of Final Dividend And Annual General Meeting Of The Company.
124,Board Meeting Intimation for Sub.: A) Board Meeting To Consider Audited Financial Results & Payment Of Interim Dividend And B) Intimation Of Record Date For Payment Of Dividend
125,"Board Meeting Intimation for To Consider And Take On Record The Audited Standalone And Unaudited Consolidated Financial Results Of Tata Steel Limited For The Quarter Ended June 30, 2023."
126,"Board Meeting Outcome for Outcome Of Board Meeting Held On April 27, 2023- Buyback Of Equity Shares"
127,"Board Meeting Outcome for Unaudited Standalone And Consolidated Financial Results For The Quarter Ended June 30, 2023"
128,Board Meeting Outcome for Outcome Of Board Meeting Of Hindalco Industries Limited ('The Company')
129,"Board Meeting Intimation for Intimations Under The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
130,"Outcome Of Board Meeting Of Mahindra & Mahindra Limited Held On 10Th February, 2023"
131,Board Meeting Intimation for Intimation Regarding Meeting Of 'Committee Of Directors For Bonds' Of POWERGRID For Issue Of Bond LXX (70Th) Issue 2022-23 The Debt Instrument.
132,"Board Meeting Intimation for Considering And Approving The Standalone And Consolidated Audited Financial Results Of The Company For The Quarter / Year Ended March 31, 2023."
133,Board Meeting Intimation for Board Meeting Of POWERGRID
134,"Board Meeting Outcome for Outcome Of Board Meeting Pursuant To Regulations 30 And 52 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
135,"Board Meeting Intimation for Intimation Regarding Holding Of Meeting Of The Board Of Directors To Consider: - Un-Audited Financial Results For The Quarter And Nine-Months Period Ended December 31, 2022 - Declaration Of Interim Dividend For The Financial Year 2022-23, If Any"
