index,title
0,Presentation At The Press /Analyst Meet
1,Intimation Regarding Press Release By Madhya Pradesh Government
2,Media Statement And Presentation
3,Press Release By Jio Financial Services Limited
4,Media Statement
5,Media Release By The Company
6,Clarification On News Item Appearing In 'Media/Publication'
7,Media Release By Radisys Corporation  A Subsidiary Of The Company
8,Reference To An Article Published In A Media Publication Today
9,Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter And Year Ended March 31
10,Media Release By Reliance Jio Infocomm Limited
11,Call With Media On Financial Results For The Quarter Ended June 30
12,Update On Press Release Dated February 27
13,Clarification On News Item Appearing In Media/Publication
14,Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter Ended December 31
15,Audited Financial Results - Media Statement And Presentation
16,Clarification On Media News
17,Media Release By Reliance Jio Infocomm Limited
18,Media Call And Earnings Call - Audio Recordings
19,Transcripts Of The Call With Media And Of Earnings Call With Analysts And Investors
20,Media And Earnings Call - Audio Recordings
21,Media Release By Reliance Retail Ventures Limited
22,Clarification /Confirmation On News Item Appearing In 'Media/Publication' Ref: Your E-Mail Dated 21St June
23,Announcement under Regulation 30 (LODR)-Press Release / Media Release
24,Please Find Attached A Media Release By Radisys Corporation
25,Media Call/Earnings Call
26,Media Release Issued Jointly By Reliance Jio Infocomm Limited And Reliance Retail Ventures Limited
27,Please Find Enclosed The Press Release Titled 'Energy Transition Among The Top 3 Priorities For 73 Percent Of Companies: Infosys-HFS Research Study'
28,Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter Ended June 30
29,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised)
30,Transcripts Of The Conference Call With Media And Of Earnings Call With Analysts And Investors.
31,Media Release By Reliance Jio Infocomm Limited
32,Transcripts Of The Earnings Call With Media And Of Earnings Call With Analysts And Investors.
33,Media Call And Earnings Call On Financial Results
34,Intimation Of Notice Sent To Shareholders/Advertised In Media For Transfer Of Shares To Investor Education And Protection Fund (IEPF)
35,Media Release By Reliance Jio Infocomm Limited
36,Media Statement And Investor Presentation
37,Press Release Regarding Strategic Partnership
38,Media Call and Presentation on Market Expansion
39,Intimation of Investor Conference by Subsidiary Company
40,Clarification on Market Rumors - Media Release
41,Transcripts of Analyst Meet and Earnings Call
42,Update on Joint Venture - Media Statement
43,Announcement of Merger - Press Release
44,Media Release on Product Launch
45,Audio and Video Recording of Product Showcase Event
46,Investor Presentation on Annual Financial Results
47,Media Call for Sustainability Initiatives
48,Clarification on Regulatory Compliance - Media Release
49,Transcripts of Town Hall Meeting with Stakeholders
50,Press Release on Corporate Social Responsibility Initiatives
51,Media Statement on Leadership Changes
52,Announcement of Dividend Declaration - Press Release
53,Intimation Regarding Legal Proceedings - Media Release
54,Audio and Video Recording of Annual General Meeting
55,Media Call on Technology Innovation
56,Clarification on Environmental Impact Reports - Press Release
57,Transcripts of Investor Conference on Financial Outlook
58,Press Release on Launch of Sustainable Product Line
59,Media Call and Presentation on Corporate Governance
60,Announcement of Technology Collaboration - Investor Communication
61,Clarification on Regulatory Compliance Issues - Media Release
62,Update on Corporate Social Responsibility Projects - Press Release
63,Announcement of New CEO - Investor Communication
64,Media Release on Cybersecurity Initiatives
65,Audio and Video Recording of Virtual Product Launch
66,Investor Presentation on Market Expansion Strategies
67,Media Call for Regulatory Compliance Updates
68,Clarification on Merger Speculations - Press Release
69,Transcripts of Leadership Town Hall on Future Roadmap
70,Press Release on Recognition at Industry Awards
71,Intimation Regarding Annual Shareholders Meeting - Media Release
72,Audio and Video Recording of Global Partnerships Summit
73,Media Release on Technological Innovation Milestone
74,Announcement of Corporate Training Program - Investor Communication
75,Audio and Video Recording of Diversity and Inclusion Workshop
76,Clarification on Market Rumors Regarding Product Recall
77,Update on Legal Proceedings - Media Release
78,Presentation At The Press /Analyst Meet
79,Intimation Regarding Press Release By Madhya Pradesh Government
80,Media Statement And Presentation
81,Press Release By Jio Financial Services Limited
82,Media Statement
83,Media Release By The Company
84,Clarification On News Item Appearing In 'Media/Publication'
85,"Media Release By Radisys Corporation, A Subsidiary Of The Company"
86,Reference To An Article Published In A Media Publication Today
87,"Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter And Year Ended March 31, 2023"
88,"Media Release By Reliance Jio Infocomm Limited, A Subsidiary Of The Compan"
89,"Call With Media On Financial Results For The Quarter Ended June 30, 2023"
90,"Update On Press Release Dated February 27, 2023"
91,Clarification On News Item Appearing In Media/Publication
92,"Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter Ended December 31, 2022"
93,Audited Financial Results - Media Statement And Presentation
94,Clarification On Media News
