index,title
1,Announcement under Regulation 30 (LODR)-Resignation of Director
2,Announcement under Regulation 30 (LODR)-Resignation of Company Secretary / Compliance Officer
3,Announcement under Regulation 30 (LODR)-Resignation of Chief Financial Officer (CFO)
4,Announcement under Regulation 30 (LODR)-Resignation of Statutory Auditors
5,Resignation Of Smt. Nita M. Ambani From The Board Of The Company - Disclosure Dated August 28
6,Announcement under Regulation 30 (LODR)-Resignation of Chief Executive Officer (CEO)
7,Announcement under Regulation 30 (LODR)-Resignation of Chief Operating Officer (COO)
8,Announcement under Regulation 30 (LODR)-Resignation of Independent Director
9,Announcement under Regulation 30 (LODR)-Resignation of Vice President (VP)
10,Resignation Of Shri Rajesh B. Ambani From The Board Of The Company - Disclosure Dated September 5
11,Announcement under Regulation 30 (LODR)-Resignation of General Counsel
12,Announcement under Regulation 30 (LODR)-Resignation of Chief Technology Officer (CTO)
13,Announcement under Regulation 30 (LODR)-Resignation of Chief Marketing Officer (CMO)
14,Announcement under Regulation 30 (LODR)-Resignation of Chief Legal Officer (CLO)
15,Resignation Of Shri Mukesh D. Ambani From The Board Of The Company - Disclosure Dated September 12
16,Announcement under Regulation 30 (LODR)-Resignation of Chief Human Resources Officer (CHRO)
17,Announcement under Regulation 30 (LODR)-Resignation of Non-Executive Director
18,Announcement under Regulation 30 (LODR)-Resignation of Head of Sales
19,Announcement under Regulation 30 (LODR)-Resignation of Chief Information Officer (CIO)
20,Resignation Of Shri Anil D. Ambani From The Board Of The Company - Disclosure Dated September 18
21,Announcement under Regulation 30 (LODR)-Resignation of Chief Strategy Officer (CSO)
22,Announcement under Regulation 30 (LODR)-Resignation of Head of Operations
23,Announcement under Regulation 30 (LODR)-Resignation of Chief Risk Officer (CRO)
24,Announcement under Regulation 30 (LODR)-Resignation of Head of Research and Development
25,Resignation Of Shri Sunil M. Ambani From The Board Of The Company - Disclosure Dated September 25
26,Announcement under Regulation 30 (LODR)-Resignation of Head of Corporate Communications
27,Announcement under Regulation 30 (LODR)-Resignation of Head of Business Development
28,Announcement under Regulation 30 (LODR)-Resignation of Head of Legal Affairs
29,Announcement under Regulation 30 (LODR)-Resignation of Head of Customer Relations
30,Resignation Of Shri Anmol A. Ambani From The Board Of The Company - Disclosure Dated October 2
31,Announcement under Regulation 30 (LODR)-Resignation of Chief Compliance Officer
32,Announcement under Regulation 30 (LODR)-Resignation of Head of Investor Relations
33,Announcement under Regulation 30 (LODR)-Resignation of Head of Supply Chain
34,Announcement under Regulation 30 (LODR)-Resignation of Head of Quality Assurance
35,Resignation Of Shri Akash M. Ambani From The Board Of The Company - Disclosure Dated October 9
36,Announcement under Regulation 30 (LODR)-Resignation of Head of Human Resources
37,Announcement under Regulation 30 (LODR)-Resignation of Head of Marketing
38,Announcement under Regulation 30 (LODR)-Resignation of Head of Finance
39,Announcement under Regulation 30 (LODR)-Resignation of Head of Technology
40,Resignation Of Shri Jai A. Ambani From The Board Of The Company - Disclosure Dated October 16
